DASH.Open;DASH.High;DASH.Low;DASH.Close;DASH.Volume;DASH.Adjusted
133,5299988;138,5200043;129,6600037;129,9799957;2302600;129,9799957
128,2100067;132;126,1600037;130,6000061;1447100;130,6000061
130,9600067;132,8300018;127,6399994;131,1300049;2939200;131,1300049
136,8800049;140,8999939;130,9400024;133,1399994;2191000;133,1399994
133,8899994;134,7299957;130,5399933;133,5500031;1459500;133,5500031
131,75;135,5;130,5099945;131,0899963;1755200;131,0899963
131,1900024;134,7100067;127,25;127,5;1866700;127,5
129,0200043;130,4499969;126,1399994;128,1399994;1879800;128,1399994
126,3000031;141;122,0599976;140,5;6671800;140,5
138;149,0099945;136,2799988;147,8300018;5730100;147,8300018
146,8399963;150,3600006;143,5500031;149,4600067;2823500;149,4600067
150,0099945;153,2749939;143,1100006;143,6499939;2235100;143,6499939
145;154,8800049;144,8699951;151,5;3338700;151,5
151,2899933;151,2899933;148,25;149,4900055;921300;149,4900055
142,4600067;150,3399963;142,3099976;146,6699982;2246100;146,6699982
146,7200012;148,8099976;142,25;144,3500061;1647700;144,3500061
143,7400055;143,7400055;139,0599976;143,3200073;1168900;143,3200073
144,8999939;149,5;142,2100067;143,9600067;991400;143,9600067
145,0599976;153,1699982;144,0099945;152,75;2088400;152,75
153,1999969;157,3399963;150,4400024;153,8000031;1563900;153,8000031
156,5500031;164,6649933;154,8999939;162,1300049;3095800;162,1300049
160,0099945;167,2299957;158,3970032;162,4499969;1621700;162,4499969
164,0399933;164,0399933;144,1300049;150,1100006;4109900;150,1100006
148,3099976;150,6300049;142,1300049;143,1699982;1806800;143,1699982
142,8500061;146,4299927;139,5299988;140,4700012;1412600;140,4700012
137,3099976;138,0299988;129,5899963;135,2200012;2092400;135,2200012
134;134,625;124,9300003;128,3899994;2786400;128,3899994
127,8799973;131,1100006;120,0500031;122,7699966;3114900;122,7699966
126,4899979;129,4900055;122,5500031;124,8899994;1887500;124,8899994
124,9000015;125,0899963;118,5599976;120,4499969;2277500;120,4499969
115,4599991;125,5;114,6900024;124,5400009;2724200;124,5400009
119,5199966;120,1699982;112,0500031;112,9899979;4433700;112,9899979
114,0500031;118,7200012;110,1299973;115,4899979;6869500;115,4899979
125;146,6300049;123,5699997;141,0700073;15264700;141,0700073
138,9100037;140,6900024;130,7100067;133,7899933;5197200;133,7899933
135,5;143,8500061;133,0899963;138,5599976;10724400;138,5599976
130,3600006;140,7299957;130,0099945;140,1999969;5588700;140,1999969
134,8099976;138,0200043;133,3500061;137;6766000;137
136,7700043;138,8500061;135,4400024;137,5700073;3250200;137,5700073
139;143,4199982;137,3600006;140,4600067;3975700;140,4600067
140,1100006;141,4799957;135,6799927;136,2700043;2812600;136,2700043
138,7299957;145,2299957;136,3800049;141,8600006;3151400;141,8600006
142,3000031;155,5;140,1699982;152,8200073;5996600;152,8200073
152;154,2200012;149,5599976;150,2799988;2238900;150,2799988
152,1999969;154,9499969;147,3399963;149,2700043;2208500;149,2700043
148,1300049;153,1999969;146,5299988;149,8300018;3097800;149,8300018
149,8899994;150,4600067;138,3099976;139,1100006;2980500;139,1100006
140,6399994;147,1300049;139,8300018;143,8000031;2384900;143,8000031
146,4700012;154,1499939;134,1199951;142,5;9575700;142,5
139,8200073;142,9100037;135,6849976;136,7599945;2968300;136,7599945
137,5899963;141,2599945;135,6600037;136,9799957;3055200;136,9799957
136,5099945;145,2599945;136,1199951;144,8500061;3323800;144,8500061
145,6499939;154,3500061;145,0399933;154,1600037;4386100;154,1600037
155,4600067;160,1000061;154,3800049;158,8300018;4722000;158,8300018
158;160,1000061;155,3000031;158,6499939;2588000;158,6499939
158;164;157,1580048;161,4600067;4815800;161,4600067
159,2100067;165,0099945;158,5800018;164,5200043;4158200;164,5200043
165,9900055;174,5899963;164;167,3300018;9450500;167,3300018
167,5;177,5;163,5299988;173,2100067;6461800;173,2100067
174,3300018;178,9900055;172,4499969;178,9799957;3740000;178,9799957
176,6399994;177,5200043;169,4100037;174,0299988;2747600;174,0299988
176,1100006;180,9499969;175,0700073;175,3000031;2682000;175,3000031
176,0299988;180,9400024;174,0899963;176,7200012;7038500;176,7200012
181,0800018;181,25;175,1049957;175,6000061;1865100;175,6000061
177,25;184,2799988;175,0700073;183,9100037;3571700;183,9100037
180,5;183,7899933;174,5599976;178,3300018;4880300;178,3300018
179,3600006;182,6600037;177,1499939;180,5899963;2570500;180,5899963
181,0500031;184,6999969;180,3500061;182,9100037;2086100;182,9100037
183,1600037;183,9859924;178,2200012;182,7700043;1957700;182,7700043
184,6300049;185,8500061;180,1649933;185,1499939;1349300;185,1499939
174,9799957;181;174,3699951;178,5599976;1783400;178,5599976
180,6600037;181,6499939;176,5399933;180,2299957;1093600;180,2299957
182,2100067;183,4199982;175,9949951;177,1799927;1157500;177,1799927
177;179,0599976;175,1569977;176,4900055;992300;176,4900055
177,3899994;178,3110046;169,1000061;169,3300018;1591800;169,3300018
167,8300018;174,6300049;164,1600037;167,3300018;1702000;167,3300018
168,5099945;169,8300018;164,6499939;167,3600006;1158800;167,3600006
163,3200073;176,9900055;163,1499939;175,5;2512100;175,5
176,2400055;180;173,6499939;177,5599976;1676700;177,5599976
177,6900024;179,4900055;175,6799927;179,0200043;1771400;179,0200043
179,1799927;184,2899933;177,8800049;182,7799988;1444200;182,7799988
181,9499969;188,6199951;180,3899994;188,6000061;2911100;188,6000061
186,2100067;188,3200073;182,6399994;184,0899963;918000;184,0899963
182,8000031;184;174,1199951;179,9900055;2291300;179,9900055
182,1199951;187,5;181,2940063;186,8500061;2123800;186,8500061
